Youtuber,Subscribers,Video views,Total Video count,Country,Category,Youtuber since,Last 7 Days Subscribers,Last 30 Days Subscribers,Last 90 Days Subscribers,Estimated earnings in past 30 days
MrBeast,"384,000,000","78,500,765,091",859,United States (US)               ,Entertainment,2012,"['2,692,308', '1,074,790,493']","['5,000,000', '1,996,039,486']","['31,000,000', '7,166,051,856']",$ 749K - $ 4.49M
T-Series,"292,000,000","293,662,998,286",23239,India (IN)               ,Music,2006,"['933,334', '959,778,038']","['2,000,000', '2,056,667,223']","['7,000,000', '10,551,432,396']",$ 771K - $ 4.63M
Cocomelon - Nursery Rhymes,"192,000,000","199,814,715,419",1504,United States (US)               ,Education,2006,"['500,000', '400,372,283']","['1,000,000', '1,487,097,051']","['3,000,000', '3,475,598,309']",$ 558K - $ 3.35M
YouTube Movies,"188,000,000",0,0, ,Film,2015,"['233,334', '0']","['1,000,000', '0']","['2,000,000', '0']",$ 0 - $ 0
SET India,"183,000,000","176,535,278,856",153867,India (IN)               ,Shows,2006,"['259,260', '224,247,812']","['1,111,112', '448,495,623']","['2,000,000', '2,573,533,551']",$ 168K - $ 1.01M
Vlad and Niki,"138,000,000","105,735,152,933",885, ,Entertainment,2018,"['466,667', '386,589,989']","['2,000,000', '1,527,065,808']","['5,000,000', '4,134,867,480']",$ 573K - $ 3.44M
â¿ Kids Diana Show,"133,000,000","113,283,440,521",1333,United States (US)               ,People,2015,"['538,462', '337,258,787']","['1,000,000', '626,337,747']","['3,000,000', '2,667,788,250']",$ 235K - $ 1.41M
Like Nastya,"127,000,000","111,754,765,038",939, ,People,2016,"['466,667', '229,691,606']","['1,000,000', '492,196,297']","['2,000,000', '2,322,023,038']",$ 185K - $ 1.11M
Music,"123,000,000",0,0, ,Youtuber,2013,"['0', '0']","['0', '0']","['1,000,000', '0']",$ 0 - $ 0
Stokes Twins,"122,000,000","21,303,127,396",358,United States (US)               ,People,2008,"['1,500,000', '499,951,314']","['3,000,000', '999,902,628']","['11,000,000', '3,241,023,860']",$ 375K - $ 2.25M
Zee Music Company,"116,000,000","76,732,472,239",13955,India (IN)               ,Music,2014,"['269,231', '270,654,560']","['1,000,000', '963,902,598']","['2,000,000', '3,024,193,148']",$ 361K - $ 2.17M
PewDiePie,"110,000,000","29,523,138,369",4813,United Kingdom (GB)               ,Gaming,2010,"['0', '3,644,677']","['0', '7,810,022']","['0', '45,122,436']",$ 2.93K - $ 17.6K
WWE,"108,000,000","93,398,459,349",83751,United States (US)               ,Sports,2007,"['0', '203,020,550']","['0', '753,228,892']","['2,000,000', '2,294,673,346']",$ 282K - $ 1.69M
Goldmines,"104,000,000","29,892,820,352",10346,India (IN)               ,Film,2012,"['269,231', '59,725,542']","['1,153,847', '119,451,084']","['2,000,000', '377,546,754']",$ 44.8K - $ 269K
ê¹íë¡KIMPRO,"101,000,000","68,126,264,450",3125,,People,2017,"['1,400,000', '2,425,289,014']","['6,400,000', '8,748,599,319']","['17,900,000', '16,144,244,855']",$ 3.28M - $ 19.7M
Sony SAB,"100,000,000","128,103,824,961",97914,India (IN)               ,Shows,2007,"['0', '264,989,216']","['0', '529,978,432']","['1,200,000', '3,219,590,965']",$ 199K - $ 1.19M
BLACKPINK,"96,400,000","38,382,531,565",606, ,People,2016,"['50,000', '31,503,100']","['100,000', '135,013,282']","['700,000', '504,278,728']",$ 50.6K - $ 304K
ChuChu TV Nursery Rhymes & Kids Songs,"95,900,000","54,652,917,679",877,India (IN)               ,Education,2013,"['82,353', '45,126,225']","['400,000', '273,809,224']","['1,100,000', '869,504,216']",$ 103K - $ 616K
